X18X78,X18X78.25,X18X78.5,X18X78.75,X18X79,X18X79.25,X18X79.5
0.800000012,0,0,0,0,0,0
0,0,4.800000191,9.5,11.19999981,8.899999619,8.699999809
8.300000191,5.900000095,3.900000095,3.200000048,5,8.800000191,8.899999619
30,26.29999924,24.29999924,24.39999962,20.70000076,4,3.200000048
4.800000191,2.400000095,23,36.79999924,36.5,11.80000019,10.69999981
0,0,0.300000012,0.400000006,0.400000006,0,0
3.799999952,2.400000095,0,0,0,0,0
10.89999962,7.099999905,0.400000006,5.300000191,9.899999619,17.70000076,17.79999924
0.600000024,0.5,2,3.599999905,4.199999809,3.400000095,3.5
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.200000003,0.200000003,0.300000012,0.400000006,0.800000012,0.800000012
1.100000024,2.5,2.5,0.5,0.100000001,0,0.200000003
2.5,1.799999952,0.300000012,0.200000003,0,0,0
1,0.600000024,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.200000003
0,0,11.60000038,18.10000038,17.39999962,4.300000191,4.099999905
0,0,2.5,9.100000381,13.89999962,19.5,19.39999962
1.600000024,3.200000048,15.30000019,21.20000076,20.5,8,7.699999809
3.400000095,3,7.800000191,13.69999981,16,13.19999981,13.10000038
2.299999952,3.799999952,7.199999809,12.60000038,16.39999962,18.5,19.10000038
0,0.300000012,1,2.400000095,3.599999905,4.900000095,5
1,0.899999976,0.899999976,0.899999976,0.699999988,0,0.100000001
1.899999976,1.299999952,0.200000003,0,0,0,0
0.400000006,0.699999988,0.699999988,2.099999905,3.400000095,6.199999809,6.199999809
4.400000095,2.700000048,2.700000048,2.799999952,2.200000048,1,1.299999952
1.899999976,2.599999905,1.899999976,1.600000024,1.899999976,2.700000048,2.799999952
0.300000012,0.400000006,2.099999905,4.900000095,6.699999809,8.399999619,8.600000381
0,0,12.10000038,22.10000038,24.5,15.89999962,16.29999924
0.699999988,0.600000024,0.300000012,0.400000006,0.400000006,0.300000012,0.5
0,0,0.300000012,0.5,0.400000006,0,0
2.099999905,3.599999905,3.599999905,2.099999905,0.300000012,0,0.200000003
5.199999809,2.299999952,1.100000024,0.300000012,0,0,0
1.700000048,4.300000191,4.300000191,0.899999976,0.400000006,0.5,0.5
0.400000006,0.699999988,0.699999988,0.400000006,0,0,0.400000006
3.900000095,4,2.400000095,1.5,0.400000006,0.5,0.5
6.300000191,5.099999905,1.700000048,0.800000012,0.100000001,0,0
2.599999905,1.299999952,1.899999976,2.700000048,2.5,0.300000012,0.200000003
3.400000095,6,6,1.799999952,1.600000024,2.400000095,2.400000095
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.300000012,0.400000006,0.400000006,0.300000012,0,0,0
2.5,1.600000024,0,0,0,0,0
5.099999905,1.100000024,0,0,0,0,0
0,0,2.299999952,5.900000095,8,9.300000191,9.199999809
